dataset,task_group,example_id,run_dir,synthetic_from_real,is_real_grouped,ambiguity_level,ambiguity_regime,posterior_strategy_requested,is_calibrated,method,baseline_method,method_family,is_conformal,sequence_length,symbol_topk_accuracy,grouped_topk_success,grouped_exact_success,grouped_token_accuracy,downstream_kind,downstream_exact_success,downstream_partial_success,symbol_topk_delta,grouped_topk_delta,grouped_exact_delta,grouped_token_delta,downstream_exact_delta,downstream_partial_delta,symbol_rescue,grouped_topk_rescue,grouped_exact_rescue,downstream_exact_rescue,downstream_partial_rescue,prediction_set_coverage,prediction_set_avg_size,prediction_set_singleton_rate,prediction_set_rescue_rate,mean_confusion_entropy,mean_confusion_set_size,real_downstream_bank_coverage,dataset_support_upper_bound,full_support_indicator
omniglot,synthetic_markov,test_seq_0010,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.6666666666666666,none,,,0.33333333333333337,0.0,0.0,0.0,,,1.0,0.0,0.0,,,1.0,5.333333333333333,0.0,0.3333333333333333,1.4107191776694294,5.333333333333333,,,
omniglot,synthetic_markov,test_seq_0010,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,0.0,0.0,0.6666666666666666,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,3.3333333333333335,0.08333333333333333,0.3333333333333333,1.0411824062256354,3.3333333333333335,,,
omniglot,synthetic_markov,test_seq_0011,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.8333333333333334,none,,,0.08333333333333337,0.0,0.0,-0.08333333333333326,,,1.0,0.0,0.0,,,1.0,5.416666666666667,0.0,0.08333333333333333,1.2712698964972244,5.416666666666667,,,
omniglot,synthetic_markov,test_seq_0011,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,0.0,0.0,0.8333333333333334,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,2.5833333333333335,0.0,0.08333333333333333,0.7431054253349824,2.5833333333333335,,,
omniglot,synthetic_markov,test_seq_0012,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.6666666666666666,none,,,0.25,0.0,0.0,-0.08333333333333337,,,1.0,0.0,0.0,,,1.0,3.1666666666666665,0.3333333333333333,0.25,0.5833191317913052,3.1666666666666665,,,
omniglot,synthetic_markov,test_seq_0012,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.9166666666666666,0.0,0.0,0.75,none,,,-0.08333333333333337,0.0,0.0,0.08333333333333337,,,0.0,0.0,0.0,,,0.9166666666666666,1.5833333333333333,0.5,0.16666666666666666,0.2986448840097578,1.5833333333333333,,,
omniglot,synthetic_markov,test_seq_0013,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,0.0,0.0,0.3333333333333333,none,,,0.41666666666666663,0.0,0.0,-0.25000000000000006,,,1.0,0.0,0.0,,,1.0,5.416666666666667,0.0,0.4166666666666667,1.3192071431679073,5.416666666666667,,,
omniglot,synthetic_markov,test_seq_0013,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,0.6666666666666666,0.0,0.0,0.4166666666666667,none,,,-0.33333333333333337,0.0,0.0,0.08333333333333337,,,0.0,0.0,0.0,,,0.6666666666666666,3.0,0.0,0.08333333333333333,0.8627288135435996,3.0,,,
omniglot,synthetic_markov,test_seq_0014,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,uncertainty_beam,fixed_greedy,raw_uncertainty,0.0,12.0,1.0,1.0,1.0,1.0,none,,,0.08333333333333337,1.0,1.0,0.08333333333333337,,,1.0,1.0,1.0,,,1.0,3.1666666666666665,0.25,0.08333333333333333,0.6062855641467153,3.1666666666666665,,,
omniglot,synthetic_markov,test_seq_0014,outputs/runs/20260408T214508Z_sequence_omniglot_markov_sequence_branch_cluster_distance,1.0,0.0,0.0,low,cluster_distance,0.0,conformal_beam,uncertainty_beam,conformal,1.0,12.0,1.0,1.0,1.0,1.0,none,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,1.75,0.5,0.08333333333333333,0.3492515453409179,1.75,,,
